"VD編號","道路","位置","方向","星期","時段","預測當量","塞車機率"
"VHKPV60","3","信義五段-光復南-往西","U",2,"p",2524,"47%"
"VHKPV60","3","信義五段-光復南-往西","U",3,"a",2623,"55%"
"VHKPV60","3","信義五段-光復南-往西","U",3,"p",2537,"48%"
"VHKPV60","3","信義五段-光復南-往西","U",4,"a",2526,"47%"
"VHKPV60","3","信義五段-光復南-往西","U",4,"p",2429,"37%"
"VHJS620","2","信義五段-松仁路往東","E",0,"a",1143,"19%"
"VHJS620","2","信義五段-松仁路往東","E",0,"p",1243,"30%"
"VHJS620","2","信義五段-松仁路往東","E",1,"a",1168,"25%"
"VHJS620","2","信義五段-松仁路往東","E",1,"p",1228,"31%"
"VHJS620","2","信義五段-松仁路往東","E",2,"a",1317,"33%"
"VHJS620","2","信義五段-松仁路往東","E",2,"p",1146,"27%"
"VHJS620","2","信義五段-松仁路往東","E",3,"a",1284,"35%"
"VHJS620","2","信義五段-松仁路往東","E",3,"p",1137,"22%"
"VHJS620","2","信義五段-松仁路往東","E",4,"a",1202,"25%"
"VHJS620","2","信義五段-松仁路往東","E",4,"p",1157,"24%"
"VHJS620","2","信義五段-松仁路往東","W",0,"a",1543,"61%"
"VHJS620","2","信義五段-松仁路往東","W",0,"p",1285,"30%"
"VHJS620","2","信義五段-松仁路往東","W",1,"a",1593,"65%"
"VHJS620","2","信義五段-松仁路往東","W",1,"p",1227,"27%"
"VHJS620","2","信義五段-松仁路往東","W",2,"a",1695,"80%"
"VHJS620","2","信義五段-松仁路往東","W",2,"p",1279,"33%"
"VHJS620","2","信義五段-松仁路往東","W",3,"a",1632,"72%"
"VHJS620","2","信義五段-松仁路往東","W",3,"p",1248,"27%"
"VHJS620","2","信義五段-松仁路往東","W",4,"a",1603,"67%"
"VHJS620","2","信義五段-松仁路往東","W",4,"p",1347,"39%"
"VHKQP20","2","信義五段-莊敬路往東","E",0,"a",1798,"78%"
"VHKQP20","2","信義五段-莊敬路往東","E",0,"p",1725,"96%"
"VHKQP20","2","信義五段-莊敬路往東","E",1,"a",1860,"87%"
"VHKQP20","2","信義五段-莊敬路往東","E",1,"p",1726,"83%"
"VHKQP20","2","信義五段-莊敬路往東","E",2,"a",1949,"100%"
"VHKQP20","2","信義五段-莊敬路往東","E",2,"p",1779,"100%"
"VHKQP20","2","信義五段-莊敬路往東","E",3,"a",1872,"88%"
"VHKQP20","2","信義五段-莊敬路往東","E",3,"p",1757,"99%"
"VHKQP20","2","信義五段-莊敬路往東","E",4,"a",1807,"80%"
"VHKQP20","2","信義五段-莊敬路往東","E",4,"p",1795,"97%"
"VHKQP20","2","信義五段-莊敬路往東","W",0,"a",555,"0%"
"VHKQP20","2","信義五段-莊敬路往東","W",0,"p",760,"0%"
"VHKQP20","2","信義五段-莊敬路往東","W",1,"a",592,"0%"
"VHKQP20","2","信義五段-莊敬路往東","W",1,"p",745,"0%"
"VHKQP20","2","信義五段-莊敬路往東","W",2,"a",613,"0%"
"VHKQP20","2","信義五段-莊敬路往東","W",2,"p",764,"0%"
"VHKQP20","2","信義五段-莊敬路往東","W",3,"a",596,"0%"
"VHKQP20","2","信義五段-莊敬路往東","W",3,"p",764,"0%"
"VHKQP20","2","信義五段-莊敬路往東","W",4,"a",581,"0%"
"VHKQP20","2","信義五段-莊敬路往東","W",4,"p",761,"0%"
"V9250A2","3","信義支線隧道內1+950","U",0,"a",2049,"0%"
"V9250A2","3","信義支線隧道內1+950","U",0,"p",3198,"14%"
"V9250A2","3","信義支線隧道內1+950","U",1,"a",2015,"0%"
"V9250A2","3","信義支線隧道內1+950","U",1,"p",3145,"19%"
"V9250A2","3","信義支線隧道內1+950","U",2,"a",2062,"0%"
"V9250A2","3","信義支線隧道內1+950","U",2,"p",3313,"12%"
"V9250A2","3","信義支線隧道內1+950","U",3,"a",2046,"0%"
"V9250A2","3","信義支線隧道內1+950","U",3,"p",3274,"14%"
"V9250A2","3","信義支線隧道內1+950","U",4,"a",1975,"0%"
"V9250A2","3","信義支線隧道內1+950","U",4,"p",3383,"33%"
"V9030A2","3","信義支線隧道內2+020","U",0,"a",4020,"29%"
"V9030A2","3","信義支線隧道內2+020","U",0,"p",2660,"0%"
"V9030A2","3","信義支線隧道內2+020","U",1,"a",4138,"31%"
"V9030A2","3","信義支線隧道內2+020","U",1,"p",2605,"0%"
"V9030A2","3","信義支線隧道內2+020","U",2,"a",4279,"33%"
"V9030A2","3","信義支線隧道內2+020","U",2,"p",2690,"0%"
"V9030A2","3","信義支線隧道內2+020","U",3,"a",4121,"30%"
"V9030A2","3","信義支線隧道內2+020","U",3,"p",2689,"0%"
"V9030A2","3","信義支線隧道內2+020","U",4,"a",4002,"28%"
"V9030A2","3","信義支線隧道內2+020","U",4,"p",2832,"0%"
"V9040A0","3","信義支線隧道內2+645","U",0,"a",3753,"81%"
"V9040A0","3","信義支線隧道內2+645","U",0,"p",2557,"14%"
"V9040A0","3","信義支線隧道內2+645","U",1,"a",3827,"84%"
"V9040A0","3","信義支線隧道內2+645","U",1,"p",2468,"18%"
"V9040A0","3","信義支線隧道內2+645","U",2,"a",3858,"89%"
"V9040A0","3","信義支線隧道內2+645","U",2,"p",2521,"11%"
"V9040A0","3","信義支線隧道內2+645","U",3,"a",3805,"84%"
"V9040A0","3","信義支線隧道內2+645","U",3,"p",2552,"11%"
"V9040A0","3","信義支線隧道內2+645","U",4,"a",3659,"76%"
"V9040A0","3","信義支線隧道內2+645","U",4,"p",2691,"28%"
"V9050A0","3","信義支線隧道內2+920","U",0,"a",3982,"36%"
"V9050A0","3","信義支線隧道內2+920","U",0,"p",2707,"0%"
"V9050A0","3","信義支線隧道內2+920","U",1,"a",4079,"38%"
"V9050A0","3","信義支線隧道內2+920","U",1,"p",2642,"0%"
"V9050A0","3","信義支線隧道內2+920","U",2,"a",4208,"42%"
"V9050A0","3","信義支線隧道內2+920","U",2,"p",2731,"0%"
"V9050A0","3","信義支線隧道內2+920","U",3,"a",4076,"37%"
"V9050A0","3","信義支線隧道內2+920","U",3,"p",2739,"0%"
"V9050A0","3","信義支線隧道內2+920","U",4,"a",3936,"34%"
"V9050A0","3","信義支線隧道內2+920","U",4,"p",2898,"0%"
"V9240A0","3","信義支線隧道外2+850","U",0,"a",2035,"0%"
"V9240A0","3","信義支線隧道外2+850","U",0,"p",3410,"6%"
"V9240A0","3","信義支線隧道外2+850","U",1,"a",2007,"0%"
"V9240A0","3","信義支線隧道外2+850","U",1,"p",3295,"5%"
"V9240A0","3","信義支線隧道外2+850","U",2,"a",2032,"0%"
"V9240A0","3","信義支線隧道外2+850","U",2,"p",3486,"5%"
"V9240A0","3","信義支線隧道外2+850","U",3,"a",2020,"0%"
"V9240A0","3","信義支線隧道外2+850","U",3,"p",3429,"3%"
"V9240A0","3","信義支線隧道外2+850","U",4,"a",1971,"0%"
"V9240A0","3","信義支線隧道外2+850","U",4,"p",3577,"11%"
"V9060A0","3","信義支線隧道外3+880","U",0,"a",4138,"83%"
"V9060A0","3","信義支線隧道外3+880","U",0,"p",2730,"0%"
"V9060A0","3","信義支線隧道外3+880","U",1,"a",4294,"84%"
"V9060A0","3","信義支線隧道外3+880","U",1,"p",2664,"10%"
"V9060A0","3","信義支線隧道外3+880","U",2,"a",4246,"95%"
"V9060A0","3","信義支線隧道外3+880","U",2,"p",2769,"1%"
"V9060A0","3","信義支線隧道外3+880","U",3,"a",4169,"89%"
"V9060A0","3","信義支線隧道外3+880","U",3,"p",2823,"21%"
"V9060A0","3","信義支線隧道外3+880","U",4,"a",4071,"81%"
"V9060A0","3","信義支線隧道外3+880","U",4,"p",3047,"44%"
"VHEPV00","2","光復南-信義往北","U",0,"a",581,"0%"
"VHEPV00","2","光復南-信義往北","U",0,"p",717,"0%"
"VHEPV00","2","光復南-信義往北","U",1,"a",581,"0%"
"VHEPV00","2","光復南-信義往北","U",1,"p",698,"0%"
"VHEPV00","2","光復南-信義往北","U",2,"a",598,"0%"
"VHEPV00","2","光復南-信義往北","U",2,"p",735,"0%"
"VHEPV00","2","光復南-信義往北","U",3,"a",603,"0%"
"VHEPV00","2","光復南-信義往北","U",3,"p",713,"0%"
"VHEPV00","2","光復南-信義往北","U",4,"a",599,"0%"
"VHEPV00","2","光復南-信義往北","U",4,"p",740,"0%"
"VHKPV40","2","光復南-信義往南","U",0,"a",1038,"12%"
"VHKPV40","2","光復南-信義往南","U",0,"p",1354,"54%"
"VHKPV40","2","光復南-信義往南","U",1,"a",1065,"9%"
"VHKPV40","2","光復南-信義往南","U",1,"p",1382,"56%"
"VHKPV40","2","光復南-信義往南","U",2,"a",1093,"15%"
"VHKPV40","2","光復南-信義往南","U",2,"p",1390,"59%"
"VHKPV40","2","光復南-信義往南","U",3,"a",1046,"11%"
"VHKPV40","2","光復南-信義往南","U",3,"p",1445,"68%"
"VHKPV40","2","光復南-信義往南","U",4,"a",1032,"16%"
"VHKPV40","2","光復南-信義往南","U",4,"p",1365,"56%"
"VJFPW00","3","光復南-忠孝東往北","U",0,"a",1474,"0%"
"VJFPW00","3","光復南-忠孝東往北","U",0,"p",2132,"14%"
"VJFPW00","3","光復南-忠孝東往北","U",1,"a",1513,"0%"
"VJFPW00","3","光復南-忠孝東往北","U",1,"p",2195,"31%"
"VJFPW00","3","光復南-忠孝東往北","U",2,"a",1548,"0%"
"VJFPW00","3","光復南-忠孝東往北","U",2,"p",2276,"28%"
"VJFPW00","3","光復南-忠孝東往北","U",3,"a",1534,"0%"
"VJFPW00","3","光復南-忠孝東往北","U",3,"p",2170,"14%"
"VJFPW00","3","光復南-忠孝東往北","U",4,"a",1504,"1%"
"VJFPW00","3","光復南-忠孝東往北","U",4,"p",2249,"31%"
"VJFPW01","2","光復南路151巷口左側人行道上","N",0,"a",307,"0%"
"VJFPW01","2","光復南路151巷口左側人行道上","N",0,"p",427,"0%"
"VJFPW01","2","光復南路151巷口左側人行道上","N",1,"a",312,"0%"
"VJFPW01","2","光復南路151巷口左側人行道上","N",1,"p",444,"0%"
"VJFPW01","2","光復南路151巷口左側人行道上","N",2,"a",328,"0%"
"VJFPW01","2","光復南路151巷口左側人行道上","N",2,"p",471,"0%"
"VJFPW01","2","光復南路151巷口左側人行道上","N",3,"a",321,"0%"
"VJFPW01","2","光復南路151巷口左側人行道上","N",3,"p",473,"0%"
"VJFPW01","2","光復南路151巷口左側人行道上","N",4,"a",315,"0%"
"VJFPW01","2","光復南路151巷口左側人行道上","N",4,"p",489,"0%"
"VJFPW01","2","光復南路151巷口左側人行道上","S",0,"a",1186,"43%"
"VJFPW01","2","光復南路151巷口左側人行道上","S",0,"p",1699,"100%"
"VJFPW01","2","光復南路151巷口左側人行道上","S",1,"a",1163,"38%"
"VJFPW01","2","光復南路151巷口左側人行道上","S",1,"p",1712,"96%"
"VJFPW01","2","光復南路151巷口左側人行道上","S",2,"a",1218,"47%"
"VJFPW01","2","光復南路151巷口左側人行道上","S",2,"p",1750,"100%"
"VJFPW01","2","光復南路151巷口左側人行道上","S",3,"a",1208,"46%"
"VJFPW01","2","光復南路151巷口左側人行道上","S",3,"p",1742,"100%"
"VJFPW01","2","光復南路151巷口左側人行道上","S",4,"a",1160,"40%"
"VJFPW01","2","光復南路151巷口左側人行道上","S",4,"p",1853,"100%"
"VIKPW00","2","光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿","N",0,"a",1567,"40%"
"VIKPW00","2","光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿","N",0,"p",2022,"89%"
"VIKPW00","2","光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿","N",1,"a",1648,"47%"
"VIKPW00","2","光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿","N",1,"p",2215,"83%"
"VIKPW00","2","光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿","N",2,"a",1622,"44%"
"VIKPW00","2","光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿","N",2,"p",2151,"87%"
"VIKPW00","2","光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿","N",3,"a",1676,"50%"
"VIKPW00","2","光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿","N",3,"p",2218,"88%"
"VIKPW00","2","光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿","N",4,"a",1532,"34%"
"VIKPW00","2","光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿","N",4,"p",2437,"93%"
"VHEPV40","2","光復路(信義-基隆)-光復南路620號前路燈桿(號誌控制箱旁)","N",0,"a",867,"7%"
"VHEPV40","2","光復路(信義-基隆)-光復南路620號前路燈桿(號誌控制箱旁)","N",0,"p",1148,"44%"
"VHEPV40","2","光復路(信義-基隆)-光復南路620號前路燈桿(號誌控制箱旁)","N",1,"a",899,"10%"
"VHEPV40","2","光復路(信義-基隆)-光復南路620號前路燈桿(號誌控制箱旁)","N",1,"p",1163,"45%"
"VHEPV40","2","光復路(信義-基隆)-光復南路620號前路燈桿(號誌控制箱旁)","N",2,"a",922,"12%"
"VHEPV40","2","光復路(信義-基隆)-光復南路620號前路燈桿(號誌控制箱旁)","N",2,"p",1163,"45%"
"VHEPV40","2","光復路(信義-基隆)-光復南路620號前路燈桿(號誌控制箱旁)","N",3,"a",918,"13%"
"VHEPV40","2","光復路(信義-基隆)-光復南路620號前路燈桿(號誌控制箱旁)","N",3,"p",1125,"43%"
"VHEPV40","2","光復路(信義-基隆)-光復南路620號前路燈桿(號誌控制箱旁)","N",4,"a",905,"11%"
"VHEPV40","2","光復路(信義-基隆)-光復南路620號前路燈桿(號誌控制箱旁)","N",4,"p",1130,"44%"
"VL6RM20","1","八德路四段318號前","E",0,"a",639,"49%"
"VL6RM20","1","八德路四段318號前","E",0,"p",676,"69%"
"VL6RM20","1","八德路四段318號前","E",1,"a",668,"58%"
"VL6RM20","1","八德路四段318號前","E",1,"p",675,"62%"
"VL6RM20","1","八德路四段318號前","E",2,"a",684,"71%"
"VL6RM20","1","八德路四段318號前","E",2,"p",684,"73%"
"VL6RM20","1","八德路四段318號前","E",3,"a",672,"60%"
"VL6RM20","1","八德路四段318號前","E",3,"p",698,"78%"
"VL6RM20","1","八德路四段318號前","E",4,"a",644,"51%"
"VL6RM20","1","八德路四段318號前","E",4,"p",774,"86%"
"VL6RM20","1","八德路四段318號前","W",0,"a",203,"0%"
"VL6RM20","1","八德路四段318號前","W",0,"p",305,"0%"
"VL6RM20","1","八德路四段318號前","W",1,"a",210,"0%"
"VL6RM20","1","八德路四段318號前","W",1,"p",305,"0%"
"VL6RM20","1","八德路四段318號前","W",2,"a",208,"0%"
"VL6RM20","1","八德路四段318號前","W",2,"p",308,"0%"
"VL6RM20","1","八德路四段318號前","W",3,"a",211,"0%"
"VL6RM20","1","八德路四段318號前","W",3,"p",305,"0%"
"VL6RM20","1","八德路四段318號前","W",4,"a",201,"0%"
"VL6RM20","1","八德路四段318號前","W",4,"p",304,"0%"
"VLDTB20","2","八德路四段610號前","E",0,"a",672,"8%"
"VLDTB20","2","八德路四段610號前","E",0,"p",806,"19%"
"VLDTB20","2","八德路四段610號前","E",1,"a",673,"4%"
"VLDTB20","2","八德路四段610號前","E",1,"p",781,"18%"
"VLDTB20","2","八德路四段610號前","E",2,"a",702,"10%"
"VLDTB20","2","八德路四段610號前","E",2,"p",807,"9%"
"VLDTB20","2","八德路四段610號前","E",3,"a",697,"13%"
"VLDTB20","2","八德路四段610號前","E",3,"p",793,"16%"
"VLDTB20","2","八德路四段610號前","E",4,"a",745,"15%"
"VLDTB20","2","八德路四段610號前","E",4,"p",814,"15%"
"VLDTB20","2","八德路四段610號前","W",0,"a",850,"30%"
"VLDTB20","2","八德路四段610號前","W",0,"p",982,"54%"
"VLDTB20","2","八德路四段610號前","W",1,"a",873,"34%"
"VLDTB20","2","八德路四段610號前","W",1,"p",959,"50%"
"VLDTB20","2","八德路四段610號前","W",2,"a",870,"34%"
"VLDTB20","2","八德路四段610號前","W",2,"p",1022,"64%"
"VLDTB20","2","八德路四段610號前","W",3,"a",856,"33%"
"VLDTB20","2","八德路四段610號前","W",3,"p",1021,"60%"
"VLDTB20","2","八德路四段610號前","W",4,"a",884,"39%"
"VLDTB20","2","八德路四段610號前","W",4,"p",1011,"60%"
"VEZPT20","2","和平東路三段234號前","E",0,"a",550,"0%"
"VEZPT20","2","和平東路三段234號前","E",0,"p",886,"20%"
"VEZPT20","2","和平東路三段234號前","E",1,"a",557,"0%"
"VEZPT20","2","和平東路三段234號前","E",1,"p",896,"25%"
"VEZPT20","2","和平東路三段234號前","E",2,"a",572,"0%"
"VEZPT20","2","和平東路三段234號前","E",2,"p",909,"25%"
"VEZPT20","2","和平東路三段234號前","E",3,"a",561,"0%"
"VEZPT20","2","和平東路三段234號前","E",3,"p",913,"27%"
"VEZPT20","2","和平東路三段234號前","E",4,"a",573,"0%"
"VEZPT20","2","和平東路三段234號前","E",4,"p",882,"20%"
"VEUPN60","2","和平東路三段425號前","W",0,"a",999,"9%"
"VEUPN60","2","和平東路三段425號前","W",0,"p",753,"0%"
"VEUPN60","2","和平東路三段425號前","W",1,"a",1029,"10%"
"VEUPN60","2","和平東路三段425號前","W",1,"p",744,"0%"
"VEUPN60","2","和平東路三段425號前","W",2,"a",1069,"6%"
"VEUPN60","2","和平東路三段425號前","W",2,"p",725,"0%"
"VEUPN60","2","和平東路三段425號前","W",3,"a",1054,"13%"
"VEUPN60","2","和平東路三段425號前","W",3,"p",735,"0%"
"VEUPN60","2","和平東路三段425號前","W",4,"a",974,"12%"
"VEUPN60","2","和平東路三段425號前","W",4,"p",791,"0%"
"V9211A0","4","基隆路方向上信義支線匝道4+170","U",0,"a",3096,"36%"
"V9211A0","4","基隆路方向上信義支線匝道4+170","U",0,"p",3660,"69%"
"V9211A0","4","基隆路方向上信義支線匝道4+170","U",1,"a",3134,"37%"
"V9211A0","4","基隆路方向上信義支線匝道4+170","U",1,"p",3614,"65%"
"V9211A0","4","基隆路方向上信義支線匝道4+170","U",2,"a",3289,"46%"
"V9211A0","4","基隆路方向上信義支線匝道4+170","U",2,"p",3641,"73%"
"V9211A0","4","基隆路方向上信義支線匝道4+170","U",3,"a",3297,"46%"
"V9211A0","4","基隆路方向上信義支線匝道4+170","U",3,"p",3672,"76%"
"V9211A0","4","基隆路方向上信義支線匝道4+170","U",4,"a",3132,"38%"
"V9211A0","4","基隆路方向上信義支線匝道4+170","U",4,"p",3760,"76%"
"VKXRL60","2","市民大道四段京華城對面人行道","E",0,"a",1097,"20%"
"VKXRL60","2","市民大道四段京華城對面人行道","E",0,"p",1253,"26%"
"VKXRL60","2","市民大道四段京華城對面人行道","E",1,"a",1150,"23%"
"VKXRL60","2","市民大道四段京華城對面人行道","E",1,"p",1253,"37%"
"VKXRL60","2","市民大道四段京華城對面人行道","E",2,"a",1194,"15%"
"VKXRL60","2","市民大道四段京華城對面人行道","E",2,"p",1299,"40%"
"VKXRL60","2","市民大道四段京華城對面人行道","E",3,"a",1175,"25%"
"VKXRL60","2","市民大道四段京華城對面人行道","E",3,"p",1290,"38%"
"VKXRL60","2","市民大道四段京華城對面人行道","E",4,"a",1133,"22%"
"VKXRL60","2","市民大道四段京華城對面人行道","E",4,"p",1326,"49%"
"VK6NY60","2","市民大道四段與光復南路66巷口對面橋下","W",0,"a",1997,"92%"
"VK6NY60","2","市民大道四段與光復南路66巷口對面橋下","W",0,"p",2664,"100%"
"VK6NY60","2","市民大道四段與光復南路66巷口對面橋下","W",1,"a",2163,"92%"
"VK6NY60","2","市民大道四段與光復南路66巷口對面橋下","W",1,"p",2683,"100%"
"VK6NY60","2","市民大道四段與光復南路66巷口對面橋下","W",2,"a",2146,"99%"
"VK6NY60","2","市民大道四段與光復南路66巷口對面橋下","W",2,"p",2690,"100%"
"VK6NY60","2","市民大道四段與光復南路66巷口對面橋下","W",3,"a",2052,"98%"
"VK6NY60","2","市民大道四段與光復南路66巷口對面橋下","W",3,"p",2699,"100%"
"VK6NY60","2","市民大道四段與光復南路66巷口對面橋下","W",4,"a",2004,"95%"
"VK6NY60","2","市民大道四段與光復南路66巷口對面橋下","W",4,"p",2788,"100%"
"VL7TM20","2","市民大道松山車站機車地下停車場出入口南側","E",0,"a",687,"2%"
"VL7TM20","2","市民大道松山車站機車地下停車場出入口南側","E",0,"p",878,"1%"
"VL7TM20","2","市民大道松山車站機車地下停車場出入口南側","E",1,"a",686,"2%"
"VL7TM20","2","市民大道松山車站機車地下停車場出入口南側","E",1,"p",999,"15%"
"VL7TM20","2","市民大道松山車站機車地下停車場出入口南側","E",2,"a",686,"1%"
"VL7TM20","2","市民大道松山車站機車地下停車場出入口南側","E",2,"p",921,"7%"
"VL7TM20","2","市民大道松山車站機車地下停車場出入口南側","E",3,"a",704,"2%"
"VL7TM20","2","市民大道松山車站機車地下停車場出入口南側","E",3,"p",992,"18%"
"VL7TM20","2","市民大道松山車站機車地下停車場出入口南側","E",4,"a",668,"1%"
"VL7TM20","2","市民大道松山車站機車地下停車場出入口南側","E",4,"p",1007,"16%"
"V0160C0","2","市高光復西側往東","U",0,"a",5873,"91%"
"V0160C0","2","市高光復西側往東","U",0,"p",6139,"100%"
"V0160C0","2","市高光復西側往東","U",1,"a",6134,"96%"
"V0160C0","2","市高光復西側往東","U",1,"p",5924,"91%"
"V0160C0","2","市高光復西側往東","U",2,"a",6147,"99%"
"V0160C0","2","市高光復西側往東","U",2,"p",6186,"100%"
"V0160C0","2","市高光復西側往東","U",3,"a",6095,"98%"
"V0160C0","2","市高光復西側往東","U",3,"p",6140,"100%"
"V0160C0","2","市高光復西側往東","U",4,"a",5908,"93%"
"V0160C0","2","市高光復西側往東","U",4,"p",6201,"100%"
"V03A0G0","2","市高光復西側往西","U",0,"a",7418,"99%"
"V03A0G0","2","市高光復西側往西","U",0,"p",6899,"100%"
"V03A0G0","2","市高光復西側往西","U",1,"a",7690,"100%"
"V03A0G0","2","市高光復西側往西","U",1,"p",6687,"99%"
"V03A0G0","2","市高光復西側往西","U",2,"a",7648,"100%"
"V03A0G0","2","市高光復西側往西","U",2,"p",7016,"100%"
"V03A0G0","2","市高光復西側往西","U",3,"a",7655,"100%"
"V03A0G0","2","市高光復西側往西","U",3,"p",7043,"100%"
"V03A0G0","2","市高光復西側往西","U",4,"a",7463,"100%"
"V03A0G0","2","市高光復西側往西","U",4,"p",6419,"99%"
"V0390G0","2","市高台鐵機場往西","U",0,"a",6082,"98%"
"V0390G0","2","市高台鐵機場往西","U",0,"p",5240,"100%"
"V0390G0","2","市高台鐵機場往西","U",1,"a",6312,"100%"
"V0390G0","2","市高台鐵機場往西","U",1,"p",4981,"91%"
"V0390G0","2","市高台鐵機場往西","U",2,"a",6297,"100%"
"V0390G0","2","市高台鐵機場往西","U",2,"p",5258,"100%"
"V0390G0","2","市高台鐵機場往西","U",3,"a",6293,"100%"
"V0390G0","2","市高台鐵機場往西","U",3,"p",5154,"100%"
"V0390G0","2","市高台鐵機場往西","U",4,"a",6154,"99%"
"V0390G0","2","市高台鐵機場往西","U",4,"p",4689,"93%"
"VGYS7A0","2","往松仁路出口匝道3+970","U",0,"a",2714,"99%"
"VGYS7A0","2","往松仁路出口匝道3+970","U",0,"p",1882,"100%"
"VGYS7A0","2","往松仁路出口匝道3+970","U",1,"a",2905,"100%"
"VGYS7A0","2","往松仁路出口匝道3+970","U",1,"p",1830,"100%"
"VGYS7A0","2","往松仁路出口匝道3+970","U",2,"a",2935,"100%"
"VGYS7A0","2","往松仁路出口匝道3+970","U",2,"p",1899,"100%"
"VGYS7A0","2","往松仁路出口匝道3+970","U",3,"a",2768,"100%"
"VGYS7A0","2","往松仁路出口匝道3+970","U",3,"p",1907,"100%"
"VGYS7A0","2","往松仁路出口匝道3+970","U",4,"a",2762,"99%"
"VGYS7A0","2","往松仁路出口匝道3+970","U",4,"p",2047,"100%"
"VJES820","3","忠孝東-松仁往東","E",0,"a",1838,"27%"
"VJES820","3","忠孝東-松仁往東","E",0,"p",1729,"6%"
"VJES820","3","忠孝東-松仁往東","E",1,"a",1897,"30%"
"VJES820","3","忠孝東-松仁往東","E",1,"p",1715,"12%"
"VJES820","3","忠孝東-松仁往東","E",2,"a",1914,"25%"
"VJES820","3","忠孝東-松仁往東","E",2,"p",1675,"1%"
"VJES820","3","忠孝東-松仁往東","E",3,"a",1889,"28%"
"VJES820","3","忠孝東-松仁往東","E",3,"p",1646,"1%"
"VJES820","3","忠孝東-松仁往東","E",4,"a",1825,"24%"
"VJES820","3","忠孝東-松仁往東","E",4,"p",1544,"0%"
"VJES820","3","忠孝東-松仁往東","W",0,"a",1438,"1%"
"VJES820","3","忠孝東-松仁往東","W",0,"p",1827,"2%"
"VJES820","3","忠孝東-松仁往東","W",1,"a",1449,"1%"
"VJES820","3","忠孝東-松仁往東","W",1,"p",1816,"19%"
"VJES820","3","忠孝東-松仁往東","W",2,"a",1495,"0%"
"VJES820","3","忠孝東-松仁往東","W",2,"p",1846,"1%"
"VJES820","3","忠孝東-松仁往東","W",3,"a",1461,"0%"
"VJES820","3","忠孝東-松仁往東","W",3,"p",1823,"3%"
"VJES820","3","忠孝東-松仁往東","W",4,"a",1435,"1%"
"VJES820","3","忠孝東-松仁往東","W",4,"p",1825,"6%"
"VJDST20","3","忠孝東-松信往東","U",0,"a",1085,"0%"
"VJDST20","3","忠孝東-松信往東","U",0,"p",1645,"29%"
"VJDST20","3","忠孝東-松信往東","U",1,"a",1114,"0%"
"VJDST20","3","忠孝東-松信往東","U",1,"p",1640,"38%"
